Déplacement (mm);Force (N)
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;0.00
0.00;16.00
0.00;16.00
0.00;79.98
0.00;127.96
0.00;111.97
0.00;111.97
0.06;47.99
0.11;95.97
0.11;111.97
0.11;95.97
0.11;111.97
0.17;95.97
0.17;111.97
0.17;111.97
0.22;95.97
0.22;111.97
0.22;111.97
0.28;95.97
0.28;127.96
0.28;143.96
0.28;159.95
0.34;143.96
0.39;143.96
0.39;159.95
0.39;207.94
0.39;191.94
0.39;207.94
0.39;191.94
0.39;223.94
0.39;239.93
0.39;255.93
0.39;255.93
0.39;271.92
0.39;287.92
0.39;335.9
0.39;447.87
0.45;367.89
0.45;495.86
0.45;559.84
0.45;703.8
0.51;623.82
0.51;767.78
0.51;847.75
0.51;911.74
0.51;1007.71
0.56;1071.69
0.56;1151.67
0.56;1215.65
0.56;1279.63
0.56;1343.61
0.56;1423.59
0.62;1487.57
0.62;1567.55
0.62;1631.53
0.62;1695.51
0.62;1743.5
0.62;1807.48
0.62;1855.46
0.62;1903.45
0.62;1999.42
0.67;1935.44
0.67;2031.41
0.67;2063.4
0.67;2079.4
0.67;2111.39
0.67;2111.39
0.67;2143.38
0.67;2159.38
0.67;2175.37
0.67;2191.37
0.73;2143.38
0.73;2159.38
0.73;2175.37
0.73;2191.37
0.73;2207.36
0.73;2223.36
0.73;2239.35
0.73;2255.35
0.73;2287.34
0.73;2319.33
0.73;2351.32
0.73;2367.32
0.73;2415.3
0.79;2431.3
0.79;2463.29
0.79;2479.28
0.79;2511.27
0.79;2527.27
0.79;2559.26
0.79;2623.24
0.79;2687.22
0.84;2591.25
0.84;2655.23
0.84;2719.21
0.84;2751.2
0.84;2783.2
0.84;2815.19
0.9;2847.18
0.9;2879.17
0.9;2911.16
0.9;2959.14
0.9;2991.14
0.9;3039.12
0.9;3119.1
0.9;3183.08
0.95;3071.11
0.95;3151.09
0.95;3215.07
0.95;3263.06
0.95;3295.05
0.95;3359.03
0.95;3391.02
0.95;3439.01
0.95;3486.99
0.95;3534.98
1.01;3566.97
1.01;3630.95
1.01;3662.94
1.01;3710.93
1.01;3726.92
1.01;3774.91
1.01;3854.89
1.07;3790.9
1.07;3822.89
1.07;3822.89
1.07;3870.88
1.07;3886.88
1.07;3902.87
1.07;3934.86
1.07;3982.85
1.07;4014.84
1.07;4046.83
1.12;3950.86
1.12;4062.83
1.12;4094.82
1.12;4158.8
1.18;4126.81
1.18;4190.79
1.18;4222.78
1.18;4254.77
1.18;4286.76
1.18;4318.75
1.18;4350.74
1.18;4398.73
1.18;4462.71
1.18;4574.68
1.24;4366.74
1.24;4430.72
1.24;4494.7
1.24;4526.69
1.24;4542.69
1.24;4606.67
1.24;4638.66
1.24;4654.65
1.24;4702.64
