Déplacement (mm);Force (N)
0;0
0;0
0;16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;31.99
0;47.99
0;79.98
0;95.97
0.06;95.97
0.06;95.97
0.06;111.97
0.11;95.97
0.11;111.97
0.17;95.97
0.17;111.97
0.17;111.97
0.22;95.97
0.22;95.97
0.22;95.97
0.28;95.97
0.28;111.97
0.28;95.97
0.28;127.96
0.34;127.96
0.34;111.97
0.39;95.97
0.39;127.96
0.39;159.95
0.39;191.94
0.39;207.94
0.45;191.94
0.45;191.94
0.45;207.94
0.45;207.94
0.45;239.93
0.45;239.93
0.45;255.93
0.45;255.93
0.45;287.92
0.45;351.9
0.45;399.88
0.51;287.92
0.51;463.87
0.51;511.85
0.51;575.83
0.51;623.82
0.51;703.8
0.56;751.78
0.56;815.76
0.56;863.75
0.56;943.73
0.62;991.71
0.62;1055.69
0.62;1087.69
0.62;1167.66
0.62;1263.63
0.67;1199.65
0.67;1311.62
0.67;1375.6
0.67;1423.59
0.67;1471.57
0.67;1503.57
0.67;1567.55
0.67;1599.54
0.67;1663.52
0.67;1695.51
0.67;1743.5
0.73;1775.49
0.73;1823.47
0.73;1887.45
0.73;1951.44
0.73;1999.42
0.79;1839.47
0.79;1903.45
0.79;1967.43
0.79;2015.42
0.79;2047.41
0.79;2047.41
0.79;2079.4
0.79;2079.4
0.79;2111.39
0.79;2111.39
0.79;2143.38
0.79;2143.38
0.79;2175.37
0.79;2223.36
0.84;2191.37
0.84;2239.35
0.84;2287.34
0.84;2287.34
0.84;2319.33
0.84;2335.32
0.84;2367.32
0.84;2367.32
0.84;2399.31
0.9;2399.31
0.9;2431.3
0.9;2431.3
0.9;2463.29
0.9;2463.29
0.9;2495.28
0.9;2511.27
0.9;2543.26
0.9;2543.26
0.9;2575.26
0.95;2575.26
0.95;2607.25
0.95;2607.25
0.95;2639.24
0.95;2671.23
1.01;2639.24
1.01;2671.23
1.01;2687.22
1.01;2687.22
1.01;2703.22
1.01;2703.22
1.01;2735.21
1.01;2751.2
1.07;2735.21
1.07;2751.2
1.07;2767.2
1.07;2767.2
1.07;2783.2
1.07;2799.19
1.07;2799.19
1.07;2815.19
1.12;2783.2
1.12;2799.19
1.12;2815.19
1.12;2815.19
1.12;2815.19
1.12;2815.19
1.18;2815.19
1.18;2815.19
1.18;2815.19
1.18;2815.19
1.18;2815.19
1.18;2831.18
1.24;2799.19
1.24;2815.19
